Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.807E+03,5.321E-03,6.714E-04,8.164E-06,2.487E-04,9.283E-04
2.808E+03,3.041E-04,7.551E-04,1.980E-05,2.974E-04,1.072E-03
2.809E+03,1.918E-03,8.541E-04,4.620E-05,3.610E-04,1.261E-03
2.810E+03,4.190E-03,9.725E-04,1.038E-04,4.464E-04,1.523E-03
2.811E+03,2.155E-03,1.119E-03,2.288E-04,5.674E-04,1.915E-03
2.812E+03,4.374E-03,1.302E-03,4.939E-04,7.468E-04,2.542E-03
2.813E+03,7.264E-03,1.528E-03,1.022E-03,1.019E-03,3.570E-03
2.814E+03,1.321E-02,1.832E-03,2.089E-03,1.481E-03,5.401E-03
2.814E+03,1.276E-02,1.882E-03,2.301E-03,1.569E-03,5.752E-03
2.814E+03,1.511E-02,1.940E-03,2.551E-03,1.671E-03,6.162E-03
2.814E+03,1.627E-02,2.006E-03,2.845E-03,1.792E-03,6.643E-03
2.815E+03,1.444E-02,2.072E-03,3.150E-03,1.918E-03,7.141E-03
2.815E+03,8.632E-03,2.139E-03,3.462E-03,2.048E-03,7.649E-03
2.815E+03,1.653E-02,2.218E-03,3.828E-03,2.203E-03,8.249E-03
2.815E+03,1.670E-02,2.305E-03,4.230E-03,2.377E-03,8.912E-03
2.815E+03,1.548E-02,2.409E-03,4.702E-03,2.589E-03,9.700E-03
2.815E+03,1.922E-02,2.519E-03,5.189E-03,2.819E-03,1.053E-02
2.815E+03,1.878E-02,2.646E-03,5.722E-03,3.091E-03,1.146E-02
2.816E+03,1.853E-02,2.783E-03,6.266E-03,3.396E-03,1.245E-02
2.816E+03,2.584E-02,2.954E-03,6.901E-03,3.800E-03,1.365E-02
2.816E+03,2.421E-02,3.156E-03,7.595E-03,4.319E-03,1.507E-02
2.816E+03,2.200E-02,3.397E-03,8.352E-03,5.003E-03,1.675E-02
2.816E+03,2.515E-02,3.708E-03,9.237E-03,5.996E-03,1.894E-02
2.816E+03,2.827E-02,4.064E-03,1.014E-02,7.280E-03,2.149E-02
2.817E+03,3.298E-02,4.497E-03,1.113E-02,9.035E-03,2.466E-02
